Test Name,Run 1,Run 2,Run 3,Run 4
BubbleSort (Random),6.51e-07,2.3e-07,3.702e-06,2.1274e-05,0.000292149,0.0179173
MergeSort (Random),2.67e-07,2.28e-07,1.3152e-05,4.9499e-05,0.000138259,0.00205409
QuickSort (Random),6.976e-05,4.2108e-05,0.00020092,0.000226769,0.003068,0.00459917
ShakerSort (Random),3.39e-07,2.23e-07,6.66e-07,3.203e-06,2.822e-06,0.000213521
